Woi,CAPEX,id,Crusher1,microwave_choice,ore_sorter_choice,screen1_choice,part2_choice,Jb1,Screen2,crusher2_choice,Crusher2,part3_choice,primary_bm_BallMill,primary_bm_CS_sim,Screen1,HPGR,hpgr_fsp,hpgr_U
9.423296554,72.56830024,777,9,without,without,without,CAHM,10.58718869,4,,,Mono_Roll,27,0.69092156,,,,
9.437217151,72.56444965,758,9,without,without,without,CAHM,10.58718869,4,,,Mono_Roll,27,0.693227874,,,,
9.437217151,72.56444965,805,9,without,without,without,CAHM,10.58718869,4,,,Mono_Roll,27,0.693227874,,,,
9.441741722,72.57215083,519,9,without,without,without,CAHM,11.1216273,4,,,Mono_Roll,27,0.69092156,,,,
9.476234365,72.56830024,483,9,without,without,without,CAHM,11.53809621,4,,,Mono_Roll,27,0.694643113,,,,
9.479200203,72.55867377,722,9,without,without,without,CAHM,11.1216273,4,,,Mono_Roll,27,0.697064243,,,,
9.497409078,70.55289788,914,10,without,without,without,CAHM,11.1216273,4,,,Mono_Roll,27,0.7,,,,
9.497409078,72.55289788,725,9,without,without,without,CAHM,11.1216273,4,,,Mono_Roll,27,0.7,,,,
9.507995376,70.55482318,868,10,without,without,without,CAHM,11.43080684,4,,,Mono_Roll,27,0.7,,,,
9.558777614,87.65376982,478,9,without,without,without,SAG,10.58718869,4,without,,HPGR_Fines,27,0.68666213,,,,
9.580347533,85.65762041,773,10,without,without,without,SAG,11.2088748,4,without,,HPGR_Fines,27,0.68666213,,,,
9.585980332,96.9753095,801,9,with,without,without,CAHM,17.16616018,4,,,Mono_Roll,27,0.69092156,,,,
9.590557412,87.64991923,683,9,without,without,without,SAG,11.2088748,4,without,,HPGR_Fines,27,0.69092156,,,,
9.606974052,155.3353431,78,9,without,with,without,CAHM,12.33223549,4,,,HPGR_Fines,35,0.69092156,,,,
9.618397347,70.51246669,960,10,without,without,without,CAHM,10.58718869,4,,,Mono_Roll,27,0.721596965,,,,
9.622407792,87.63451687,433,9,without,without,without,SAG,11.53809621,4,without,,HPGR_Fines,27,0.7,,,,
9.623207545,72.52401846,647,9,without,without,without,CAHM,11.53809621,4,,,Mono_Roll,27,0.717642833,,,,
9.633506254,72.5837026,787,9,without,without,without,CAHM,10.79909115,4,,,Mono_Roll,27,0.69092156,,,,
9.648598865,114.6105433,411,9,with,without,with,SAG,12.39324995,4,without,,HPGR_Fines,27,0.7,8,,,
9.663719732,70.68381792,564,10,without,without,without,CAHM,11.87892734,4,,,Mono_Roll,27,0.69092156,,,,
9.663719732,72.68381792,480,9,without,without,without,CAHM,11.87892734,4,,,Mono_Roll,27,0.69092156,,,,
9.670640035,77.37203551,827,9,without,with,without,CAHM,11.1216273,4,,,Mono_Roll,27,0.69092156,,,,
9.697861503,72.49128845,927,9,without,without,without,CAHM,10.58718869,4,,,Mono_Roll,27,0.733221636,,,,
9.707055145,75.36048374,714,10,without,with,without,CAHM,11.1216273,4,,,Mono_Roll,27,0.697064243,,,,
9.712936926,72.66649027,306,9,without,without,without,CAHM,11.87892734,4,,,Mono_Roll,27,0.698849281,,,,
9.712936926,72.66649027,462,9,without,without,without,CAHM,11.87892734,4,,,Mono_Roll,27,0.698849281,,,,
9.720205277,72.66456497,464,9,without,without,without,CAHM,11.87892734,4,,,Mono_Roll,27,0.7,,,,
9.743150915,96.99071186,343,9,with,without,without,CAHM,15.36510088,4,,,Mono_Roll,27,0.720901192,,,,
9.748228495,150.4160902,487,9,without,without,without,CAHM,11.53809621,4,,,HPGR_Fines,35,0.768689088,,,,
9.751632066,90.17889986,576,9,with,without,without,CAHM,11.1216273,4,,,BallMill,27,0.69092156,,,,
9.786925713,72.47011021,908,9,without,without,without,CAHM,10.58718869,4,,,Mono_Roll,27,0.745778195,,,,
9.80220217,110.4250849,289,10,with,without,without,SAG,16.41870453,4,with,5,HPGR_Fines,27,0.737723744,,,,
9.80334771,88.17312398,987,10,with,without,without,CAHM,11.1216273,4,,,BallMill,27,0.7,,,,
9.837519764,112.014572,245,9,with,without,without,SAG,17.77946351,4,without,,HPGR_Fines,27,0.723420983,,,,
9.903523608,70.68766851,264,10,without,without,without,CAHM,12.33223549,4,,,Mono_Roll,27,0.69092156,,,,
9.903523608,70.68766851,420,10,without,without,without,CAHM,12.33223549,4,,,Mono_Roll,27,0.69092156,,,,
9.907669952,72.45085726,871,9,without,without,without,CAHM,11.1216273,4,,,Mono_Roll,27,0.759506783,,,,
9.914088777,101.7982977,423,9,with,with,without,CAHM,15.36510088,4,,,Mono_Roll,27,0.762807534,,,,
9.929851232,74.08107834,688,9,without,without,without,CAHM,11.1216273,4,,,Mono_Roll,28,0.7,,,,
9.959425356,70.66841556,496,10,without,without,without,CAHM,12.33223549,4,,,Mono_Roll,27,0.7,,,,
9.985333715,77.44904729,443,9,without,with,without,CAHM,12.39324995,4,,,Mono_Roll,27,0.7,,,,
10.00126285,120.3468545,984,10,with,without,without,CAHM,11.1216273,4,,,BallMill,27,0.732092023,,,,
10.00305765,72.43160432,819,9,without,without,without,CAHM,11.1216273,4,,,Mono_Roll,27,0.77206549,,,,
10.00383522,77.44327141,261,9,without,with,without,CAHM,12.39324995,4,,,Mono_Roll,27,0.702988399,,,,
10.04484923,89.29425802,363,9,without,without,without,SAG,11.07863184,4,with,0,HPGR_Fines,27,0.7,,,,
10.09784596,85.0715206,723,9,with,without,without,SAG,11.2088748,4,without,,Mono_Roll,27,0.69092156,,,,
10.26453967,72.57985201,589,9,without,without,without,CAHM,12.27641874,4,,,Mono_Roll,27,0.745200627,,,,
10.31527142,83.11195178,696,10,with,without,without,SAG,11.87892734,4,without,,Mono_Roll,27,0.68666213,,,,
10.34329252,90.38028232,436,9,without,without,without,SAG,12.3959496,4,with,1,HPGR_Fines,27,0.7,,,,
10.57138168,100.3586855,397,9,without,without,without,SAG,10.58718869,4,with,9,HPGR_Fines,29,0.74697722,,,,
